№;№(шина);Шифр ОП;Название ОП;Операции;Институт;Статус ОП;Уровень подготовки;Кафедра;Стандарт;Код и наименование УГН;Код направления;Направление подготовки;Год утв. ОП;Руководитель ОП;Администратор сайта ОП;Активная;Годы приёма;Вступительные испытания;Программа вступительных испытаний;Очная форма;Очно-заочная форма;Заочная форма;ФГОС;СУОC;Общая характеристика;Календарный учебный график;Аннотация;Рабочие программы дисциплин;Методические и иные документы;Проходной балл на очную форму;Проходной балл на очно-заочную форму;Проходной балл на заочную форму;Срок освоения по очной форме;Срок освоения по очно-заочной форме;Срок освоения по заочной форме;Сетевая форма;Совместная ОП;На иностранном языке
11782;8778;03.04.02/04.02;Физика конденсированного состояния;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;03.00.00 Физика и астрономия;'03.04.02';Физика;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
11984;9054;05.04.06/02.02;Экологические основы ландшафтного дизайна;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;05.00.00 Науки о Земле;'05.04.06';Экология и природопользование;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
12572;9634;27.04.05/02.02;Инновационные проекты;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;27.00.00 Управление в технических системах;'27.04.05';Инноватика;2016;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
12573;9635;27.03.05/02.02;Управление инновациями;;Институт естеwwwwwwwwwwwwwwственных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;27.00.00 Управление в технических системах;'27.03.05';Инноватика;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8867;8495;06.04.01/03.02;Зоология беспозвоночных;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;06.00.00 Биологические науки;'06.04.01';Биология;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8868;8496;06.04.01/02.02;Зоология позвоночных;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;06.00.00 Биологические науки;'06.04.01';Биология;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8791;8449;04.04.01/02.02;Аналитическая химия;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;04.00.00 Химия;'04.04.01';Химия;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8821;8465;06.04.01/01.02;Ботаника;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;06.00.00 Биологические науки;'06.04.01';Биология;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8828;8470;04.04.01/05.02;Высокомолекулярные соединения;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;04.00.00 Химия;'04.04.01';Химия;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9003;8575;06.04.01/05.02;Медицинская биология;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;06.00.00 Биологические науки;'06.04.01';Биология;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8936;8536;03.04.02/03.02;Классическая и прикладная астрономия. Небесная механика;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;03.00.00 Физика и астрономия;'03.04.02';Физика;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
