title;authors;status;type;created;keywords;link
Цифровая сотовая система подвижной радиосвязи стандарта GSM;Бурнев В.Б.;ЭОР УрФУ;ЭИ;10.01.2005;"GSM;связь;телефон;сотовая";https://study.urfu.ru/Aid/ViewMeta/2
Пособие практиканта по физической культуре;"Еркомайшвили И.В.;Жукова О.Л.";ЭОР УрФУ;ЭИ;10.02.2005;"педагогическая практика;производственная практика;учебно-воспитательная работа;внеклассная работа;оздоровительный центр;загородный лагерь;отчетная документация";https://study.urfu.ru/Aid/ViewMeta/15
Комплект электронных материалов для обеспечения самостоятельной работы студентов по дисциплине «Теория и методика физической культуры»;Еркомайшвили И.В.;ЭОР УрФУ;ЭИ;11.02.2005;"Физическая культура;совершенство;развитие;физические упражнения;скорость;сила;выносливость;гибкость";https://study.urfu.ru/Aid/ViewMeta/17
Комплект электронных материалов для обеспечения самостоятельной работы студентов по дисциплине «Подвижные игры»;"Еркомайшвили И.В.;Мехович Г.И.";ЭОР УрФУ;ЭИ;11.02.2005;"физическая культура;подвижные игры;игровые упражнения;эстафета;водящий;судья";https://study.urfu.ru/Aid/ViewMeta/19
Комплект электронных материалов для обеспечения самостоятельной работы по дисциплине «Педагогическая практика»;"Еркомайшвили И.В.;Жукова О.Л.";ЭОР УрФУ;ЭИ;12.02.2005;"Физическая культура;физическое воспитание;педагогическая практика;урок;внеклассная работа";https://study.urfu.ru/Aid/ViewMeta/20
Проблемы развития двигательных способностей у школьников;Еркомайшвили И.В.;ЭОР УрФУ;ЭИ;02.03.2005;"двигательные способности;выносливость;сила;быстрота;координационные способности;гибкость;герехронность;сверхвосстановление";https://study.urfu.ru/Aid/ViewMeta/22
Спортивное ориентирование;"Дьяков А.С.;Яговкин А.Ю.";ЭОР УрФУ;ЭИ;02.03.2005;"спортивное ориентирование;ориентирование;спорт;физическая культура;соревнования;компас;карта;азимут;тренировка;топография";https://study.urfu.ru/Aid/ViewMeta/23
Дифракционные методы анализа;"Архангельская А.А.;Фарбер В.М.";ЭОР УрФУ;ЭИ;02.03.2005;"Кристалл;кристаллическая структура;решетка;дифракция;плоскость;симметрия";https://study.urfu.ru/Aid/ViewMeta/24
Основы альпинизма и скалолазания;Лебедихин А.В.;ЭОР УрФУ;ЭИ;02.03.2005;"альпинизм;скалолазание;безопасность;снаряжение;горный рельеф;опасность;история;соревнования;правила";https://study.urfu.ru/Aid/ViewMeta/25
Техника спортивного плавания;Мухтарова Т.Л.;ЭОР УрФУ;ЭИ;02.03.2005;"техника спортивного плавания;биомеханика;закономерности плавания;помощь тонущему;техника прикладного плавания";https://study.urfu.ru/Aid/ViewMeta/26
Диагностика психофизического и физического здоровья школьников;"Бароненко В.А.;Рапопорт Л.А.";ЭОР УрФУ;ЭИ;03.03.2005;"методы;анкеты;тесты;гигиеническая оценка;диагностика";https://study.urfu.ru/Aid/ViewMeta/28
Культура здоровья студента;"Бароненко В.А.;Рапопорт Л.А.";ЭОР УрФУ;ЭИ;03.03.2005;"Здоровье;здоровый образ жизни;двигательная активность;эмоциональное благополучие;стресс;вредные привычки";https://study.urfu.ru/Aid/ViewMeta/29
Здоровье и физическая культура студента;"Бароненко В.А.;Рапопорт Л.А.";ЭОР УрФУ;ЭИ;03.03.2005;"Здоровье;здоровый образ жизни;физическая культура;культура питания;сексуальная культура;вредные привычки;стресс";https://study.urfu.ru/Aid/ViewMeta/30
Гимнастика 1 часть;Лебедихина Т.М.;ЭОР УрФУ;ЭИ;03.03.2005;"оздоровительные;образовательные;воспитательные;классификация;средства;история;инвентарь;термин;ОРУ;методы";https://study.urfu.ru/Aid/ViewMeta/31
Гимнастика 2 часть;Лебедихина Т.М.;ЭОР УрФУ;ЭИ;03.03.2005;"урок;преподаватель;информирование;конспект;плотность;календарь;организация;этапы;судейство;документация";https://study.urfu.ru/Aid/ViewMeta/32
Гимнастика 3 часть;Лебедихина Т.М.;ЭОР УрФУ;ЭИ;03.03.2005;"техника;уступающий;преодолевающий;структура;принципы;возраст;периодизация;нагрузка;пульс;регулирование;сценарий";https://study.urfu.ru/Aid/ViewMeta/33
"Подготовка демонстратора одежды на базе элективного курса ""Грация""";Лебедихина Т.М.;ЭОР УрФУ;ЭИ;03.03.2005;"мода;стиль;демонстратор;подиум;хореография;аэробика;программа;структура;пульс;нагрузка";https://study.urfu.ru/Aid/ViewMeta/34
Акмеология физической культуры и спорта;Жукова О.Л.;ЭОР УрФУ;ЭИ;04.03.2005;"Акмеология;профессиональное становление;спортивный педагог;профессиональная этика;педагогическое мастерство;профессионально-педагогическая культура;самовоспитание;диагностика;самооценка";https://study.urfu.ru/Aid/ViewMeta/36
Легкая атлетика;"Воробьев Л.П.;Воробьева В.М.";ЭОР УрФУ;ЭИ;04.03.2005;"легкая атлетика;виды легкой атлетики;методика тренировки";https://study.urfu.ru/Aid/ViewMeta/37
Спортивная ходьба, бег;"Воробьев Л.П.;Воробьева В.М.";ЭОР УрФУ;ЭИ;04.03.2005;"спортивная ходьба;бег;техника и методика тренировки";https://study.urfu.ru/Aid/ViewMeta/38
Модули психологической структуры;Полозов А.А.;ЭОР УрФУ;ЭИ;04.03.2005;"типы личности;типы характера;типы интеллекта;типы мышления;физиогномика;жесты;мотивация;типология стилей руководства";https://study.urfu.ru/Aid/ViewMeta/39
"Электронный учебник с тестированием по дисциплине ""Управление и информатика в экологии и энергосбережении""";"Дружинина О.Г.;Лисиенко В.Г.";ЭОР УрФУ;ЭИ;04.03.2005;"Управление;информатика;технические системы";https://study.urfu.ru/Aid/ViewMeta/40
"Учебное электронное издание по дисциплине ""Моделирование систем""";Дружинина О.Г.;ЭОР УрФУ;ЭИ;06.03.2005;"моделирование систем;машинный эксперимент с моделью;обработка результатов исследований;инструментальные стредства иммитационного моделирования";https://study.urfu.ru/Aid/ViewMeta/41
"Автоматизированный контроль знаний и тестирование по дисциплине ""Моделирование систем""";Дружинина О.Г.;ЭОР УрФУ;ЭИ;06.03.2005;Моделирование систем;https://study.urfu.ru/Aid/ViewMeta/42
